"","id","age","gender","omega","zeta","beta_TGI","responsiveness"
"49","333",37,1,0.05311,1.435,0.471623249137071,0.398183578987151
"50","335",27,1,-3.4212,2.6427,0.0568865241864549,0.00252149470899471
"51","336",27,1,-0.98328,2.1981,0.0885967957961656,0.119233630952381
"52","337",21,2,-0.52169,1.2332,0.126769877175547,0.00961061507936508
"53","341",21,1,-1.7658,3.1536,-0.294442636251651,0.223733938019652
"54","343",22,2,-0.01292,0.95184,0.23187752689587,0.298835875496032
"55","344",25,1,-1.3664,0.8969,0.0524850843739233,0.0979491115104322
"56","345",24,1,0.1345,0.78324,-0.137190745443884,0.0295603918650793
"57","348",21,1,0.31822,0.69388,-0.216471512329802,-0.00161444294699009
"58","349",18,1,-6.3457,0.25412,-0.123669119023279,0.457788215112434
"59","352",24,1,-6.2744,0.33794,0.240816179481202,0.00708395337301589
"60","353",23,1,-0.30516,2.0319,-0.0678554438289864,0.00587487599206354
"61","354",20,1,-0.082486,0.89544,-0.0486621162858203,0.0267650462962963
"62","355",23,1,0.27747,0.96891,0.284105361737245,0.152018229166667
"63","358",22,1,-0.5368,0.76048,0.180456902926899,0.179263806216931
"64","359",23,1,-2.2886,3.7729,-0.0578151876268125,0.328757957175926
"65","361",22,1,-0.043353,1.6528,-0.0875603093360779,0.0571647061602419
"66","363",24,1,-0.95832,3.4068,0.0197384402930701,0.132039985150245
"67","366",25,1,-0.0416,0.96086,-0.152218252421091,0.00126074735449733
"68","367",23,1,-0.05398,1.1686,0.31528605245759,0.324035321593915
"69","370",25,2,-2.5942,2.1591,-0.150936761409262,0.0849542942176871
"70","372",38,2,-0.65219,0.67114,0.0216970570523077,0.0217478918650794
"71","373",20,1,-2.93,3.2237,0.179756816528569,0.0518766534391535
"72","375",28,2,-1.3134,1.248,0.313852369154688,0.0105524848828421
"73","376",22,1,-0.31419,1.6525,0.294627027579322,0.525713562334656
"74","377",22,2,-1.1837,0.62961,0.293527848019678,-0.0400309429327287
"75","380",22,1,0.24251,0.91832,-0.048638541874473,0.111059441137566
"76","381",22,2,-1.0639,1.7084,0.181960686470575,0.107959242724868
"77","382",22,1,-0.026657,0.84844,-0.121501929110543,0.00592285525321239
"78","384",18,1,0.31027,1.187,0.127599117971449,0.0343326501197963
"79","385",25,1,0.46763,1.1312,-0.0232538423144173,0.0944168351302785
"80","387",27,1,0.76039,0.37838,-0.00969637374224648,0.0337165100579016
"81","389",27,1,-1.4949,0.85406,-0.344681287724651,0.144413147203326
"82","390",19,1,-0.41969,1.0063,-0.0384189436301359,0.15548011739418
"83","392",25,1,-3.4302,1.4148,0.309459945212815,-0.00419131226914245
"84","393",24,1,-0.10909,0.89765,0.0675628491953354,-0.00328879381613756
"85","394",19,2,0.0045383,1.3706,-0.0762987429250238,0.249152612433862
"86","395",24,2,-2.3366,3.0868,0.265205764669955,-0.0283269557823129
